MESH_NM	MESH_ACC_TXT	CTD_ACTION_CD	MGI_ACTION_CD	OMIM_NM	OMIM_ID	OMIM_Designation	CREATE_BY	CREATE_BY_DATE	MOD_BY	MOD_BY_DATE	CURATOR_NOTE															
Liver Cirrhosis, Biliary	D008105	M	L	BILIARY CIRRHOSIS, PRIMARY, 3	613008	%	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Liver Cirrhosis, Biliary  	D008105	M		BILIARY CIRRHOSIS, PRIMARY, 4	614220	%	apd	11/3/2011	apd	11/3/2011	November 2011 OMIM synch															
Liver Cirrhosis, Biliary  	D008105	M		BILIARY CIRRHOSIS, PRIMARY, 5	614221	%	apd	11/3/2011	apd	11/3/2011	November 2011 OMIM synch															
Biotinidase Deficiency	D028921	M	M	BIOTINIDASE DEFICIENCY	253260	#	apd	05/12/10	apd	05/12/10																
Mental Retardation	D008607	L	L	BIRK-BAREL MENTAL RETARDATION DYSMORPHISM SYNDROME	612292	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Muscle Hypotonia	D009123	L	L	BIRK-BAREL MENTAL RETARDATION DYSMORPHISM SYNDROME	612292	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Craniofacial Abnormalities	D019465	L	L	BIRK-BAREL MENTAL RETARDATION DYSMORPHISM SYNDROME	612292	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Birt-Hogg-Dube Syndrome	D058249	M	M	BIRT-HOGG-DUBE SYNDROME	135150	#	apd	05/12/10	apd	10/14/10	mapped to new MESH 2011															
Bjornstad syndrome	C537633	M	M	BJORNSTAD SYNDROME	262000	%	apd	05/12/10	apd	10/14/10	mapped to new MESH 2011															
Bladder Neoplasms	D001749	M	L	BLADDER CANCER	109800	#	apd	05/12/10	apd	05/12/10																
Hemorrhage	D006470	L	L	BLEEDING DISORDER DUE TO P2RY12 DEFECT	609821	#	apd	05/12/10	apd	05/12/10																
Hemorrhage	D006470	L	L	BLEEDING DISORDER, EAST TEXAS TYPE	605913	%	apd	05/12/10	apd	05/12/10																
Blepharophimosis syndrome type 1	C536233	M	L	BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS	110100	#	apd	05/12/10	apd	05/12/10																
Benign essential blepharospasm	C535428	M	M	BLEPHAROSPASM, BENIGN ESSENTIAL	606798	#	apd	05/12/10	apd	05/27/11																
Bloom Syndrome	D001816	M	M	BLOOM SYNDROME	210900	#	apd	05/12/10	apd	05/12/10																
Blue cone monochromatism	C536238	M	M	BLUE CONE MONOCHROMACY	303700	%	apd	05/12/10	apd	10/07/10	re-mapped to new MESH															
Obesity	D009765	L		BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 10	607514	%	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Obesity	D009765	L	L	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 11	300306	#	apd	05/12/10	apd	05/12/10																
Obesity	D009765	L		BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 12	612362	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Obesity	D009765	L		BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 13	612459	%	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Obesity	D009765	L		BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 14	612460	%	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Obesity	D009765	L	L	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 7	608410	%	apd	05/12/10	apd	05/12/10																
Obesity	D009765	L	L	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 8	603188	%	apd	05/12/10	apd	05/12/10																
Obesity	D009765	L	L	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 9	602025	%	apd	05/12/10	apd	05/12/10																
Obesity	D009765	L		BODY MASS INDEX QUANTITATIVE TRAIT LOCUS ON CHROMOSOME 11	607447	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Connective Tissue Diseases	D003240	L	L	BONE FRAGILITY WITH CONTRACTURES, ARTERIAL RUPTURE, AND DEAFNESS	612394	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Deafness	D003638	L	L	BONE FRAGILITY WITH CONTRACTURES, ARTERIAL RUPTURE, AND DEAFNESS	612394	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Contracture	D003286	L	L	BONE FRAGILITY WITH CONTRACTURES, ARTERIAL RUPTURE, AND DEAFNESS	612394	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Bone Diseases	D001847	L	L	BONE FRAGILITY WITH CONTRACTURES, ARTERIAL RUPTURE, AND DEAFNESS	612394	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Vascular Diseases	D014652	L	L	BONE FRAGILITY WITH CONTRACTURES, ARTERIAL RUPTURE, AND DEAFNESS	612394	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Craniofacial Abnormalities	D019465	L	L	BONE FRAGILITY WITH CONTRACTURES, ARTERIAL RUPTURE, AND DEAFNESS	612394	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Osteoporosis	D010024	L	L	BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 15	613418	#	apd	08/26/10	apd	08/26/10	CTD-OMIM synch (August 2010)															
Fractures, Compression	D050815	L	L	BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 15	613418	#	apd	08/26/10	apd	08/26/10	CTD-OMIM synch (August 2010)															
Boomerang dysplasia	C536573	M	M	BOOMERANG DYSPLASIA	112310	#	apd	05/12/10	apd	10/14/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD); mapped to new MESH 2011															
Borjeson-Forssman-Lehmann syndrome	C536575	M	M	BORJESON-FORSSMAN-LEHMANN SYNDROME	301900	#	apd	05/12/10	apd	10/14/10	mapped to new MESH 2011															
Myopia	D009216	L		BORNHOLM EYE DISEASE	300843	%	apd	11/3/2011	apd	11/3/2011	November 2011 OMIM synch															
Amblyopia	D000550	L		BORNHOLM EYE DISEASE	300843	%	apd	11/3/2011	apd	11/3/2011	November 2011 OMIM synch															
Retinitis Pigmentosa	D012174	L	L	BOTHNIA RETINAL DYSTROPHY	607475	#	apd	05/12/10	apd	05/12/10																
Bowen-Conradi syndrome	C537081	M	M	BOWEN-CONRADI SYNDROME	211180	%	apd	05/12/10	apd	10/14/10	mapped to new MESH 2011															
Brachydactyly type A1	C537088	M	M	BRACHYDACTYLY, TYPE A1	112500	#	apd	05/12/10	apd	03/24/11	mapped to new MESH 2011															
Hand Deformities, Congenital	D006228	L	L	BRACHYDACTYLY, TYPE A1, B	607004	%	apd	05/12/10	apd	05/12/10																
Brachydactyly type A2	C537089	M	M	BRACHYDACTYLY, TYPE A2	112600	#	apd	05/12/10	apd	03/24/11	mapped to new MESH 2011															
Hand Deformities, Congenital	D006228	L	L	BRACHYDACTYLY, TYPE B1	113000	#	apd	05/12/10	apd	05/12/10																
Hand Deformities, Congenital	D006228	L	L	BRACHYDACTYLY, TYPE B2	611377	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Brachydactyly type C	C537093	M	M	BRACHYDACTYLY, TYPE C	113100	#	apd	05/12/10	apd	03/24/11	mapped to new MESH 2011															
Hand Deformities, Congenital	D006228	L	L	BRACHYDACTYLY, TYPE D	113200	#	apd	05/12/10	apd	05/12/10																
Hand Deformities, Congenital	D006228	L	L	BRACHYDACTYLY, TYPE E	113300	#	apd	05/12/10	apd	05/12/10																
Foot Deformities, Congenital	D005532	L	L	BRACHYDACTYLY, TYPE E	113300	#	apd	05/12/10	apd	08/25/10	added based on OMIM record															
Foot Deformities, Congenital	D005532	L	L	BRACHYDACTYLY, TYPE E2	613382	#	apd	08/26/10	apd	08/26/10	CTD-OMIM synch (August 2010)															
Growth Disorders	D006130	L	L	BRACHYDACTYLY, TYPE E2	613382	#	apd	08/26/10	apd	08/26/10	CTD-OMIM synch (August 2010)															
Hand Deformities, Congenital	D006228	L	L	BRACHYDACTYLY, TYPE E2	613382	#	apd	08/26/10	apd	08/26/10	CTD-OMIM synch (August 2010)															
Chromosome 2q37 deletion syndrome	C536802	M	L	BRACHYDACTYLY-MENTAL RETARDATION SYNDROME	600430	%	apd	05/12/10	apd	05/27/11																
Syndactyly	D013576	L	L	BRACHYDACTYLY-SYNDACTYLY SYNDROME	610713	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Brachyolmia	C537098	L	L	BRACHYOLMIA TYPE 3	113500	#	apd	05/12/10	apd	05/27/11	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Cleft Palate	D002972	L	L	BRAIN ANOMALIES, RETARDATION, ECTODERMAL DYSPLASIA, SKELETAL MALFORMATIONS, HIRSCHSPRUNG DISEASE, EAR/EYE ANOMALIES, CLEFT PALATE/CRYPTORCHIDISM, AND KIDNEY DYSPLASIA/HYPOPLASIA	300404	[blank]	apd	05/12/10	apd	05/12/10																
Cryptorchidism	D003456	L	L	BRAIN ANOMALIES, RETARDATION, ECTODERMAL DYSPLASIA, SKELETAL MALFORMATIONS, HIRSCHSPRUNG DISEASE, EAR/EYE ANOMALIES, CLEFT PALATE/CRYPTORCHIDISM, AND KIDNEY DYSPLASIA/HYPOPLASIA	300404	[blank]	apd	05/12/10	apd	05/12/10																
Deafness	D003638	L	L	BRAIN ANOMALIES, RETARDATION, ECTODERMAL DYSPLASIA, SKELETAL MALFORMATIONS, HIRSCHSPRUNG DISEASE, EAR/EYE ANOMALIES, CLEFT PALATE/CRYPTORCHIDISM, AND KIDNEY DYSPLASIA/HYPOPLASIA	300404	[blank]	apd	05/12/10	apd	05/12/10																
Ectodermal Dysplasia	D004476	L	L	BRAIN ANOMALIES, RETARDATION, ECTODERMAL DYSPLASIA, SKELETAL MALFORMATIONS, HIRSCHSPRUNG DISEASE, EAR/EYE ANOMALIES, CLEFT PALATE/CRYPTORCHIDISM, AND KIDNEY DYSPLASIA/HYPOPLASIA	300404	[blank]	apd	05/12/10	apd	05/12/10																
Growth Disorders	D006130	L	L	BRAIN ANOMALIES, RETARDATION, ECTODERMAL DYSPLASIA, SKELETAL MALFORMATIONS, HIRSCHSPRUNG DISEASE, EAR/EYE ANOMALIES, CLEFT PALATE/CRYPTORCHIDISM, AND KIDNEY DYSPLASIA/HYPOPLASIA	300404	[blank]	apd	05/12/10	apd	05/12/10																
Hirschsprung Disease	D006627	L	L	BRAIN ANOMALIES, RETARDATION, ECTODERMAL DYSPLASIA, SKELETAL MALFORMATIONS, HIRSCHSPRUNG DISEASE, EAR/EYE ANOMALIES, CLEFT PALATE/CRYPTORCHIDISM, AND KIDNEY DYSPLASIA/HYPOPLASIA	300404	[blank]	apd	05/12/10	apd	05/12/10																
Mental Retardation	D008607	L	L	BRAIN ANOMALIES, RETARDATION, ECTODERMAL DYSPLASIA, SKELETAL MALFORMATIONS, HIRSCHSPRUNG DISEASE, EAR/EYE ANOMALIES, CLEFT PALATE/CRYPTORCHIDISM, AND KIDNEY DYSPLASIA/HYPOPLASIA	300404	[blank]	apd	05/12/10	apd	05/12/10																
Cerebral Hemorrhage	D002543	L	L	BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE	607595	#	apd	05/12/10	apd	05/12/10																
Branchio-Oto-Renal Syndrome	D019280	M	L	BRANCHIOOCULOFACIAL SYNDROME	113620	#	apd	05/12/10	apd	10/07/11																
Branchiootic syndrome	C537104	L	L	BRANCHIOOTIC SYNDROME 2	120502	%	apd	05/12/10	apd	05/12/10																
Branchiootic syndrome	C537104	L	L	BRANCHIOOTIC SYNDROME 3	608389	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Lacrimal Duct Obstruction	D007767	L	L	BRANCHIOOTIC SYNDROME 3	608389	#	apd	05/12/10	apd	09/28/10	new mappings added															
Hearing Loss	D034381	L	L	BRANCHIOOTIC SYNDROME 3	608389	#	apd	05/12/10	apd	09/28/10	new mappings added															
Branchiootorenal syndrome 1	C537106	M	M	BRANCHIOOTORENAL SYNDROME 1	113650	#	apd	05/12/10	apd	05/27/11																
Branchio-Oto-Renal Syndrome	D019280	L	L	BRANCHIOOTORENAL SYNDROME 2	610896	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Breast Neoplasms	D001943	M	L	BREAST CANCER	114480	#	apd	05/12/10	apd	05/12/10																
Breast Neoplasms	D001943	M	M	BREAST CANCER 1 GENE	113705	+	apd	05/12/10	apd	05/12/10																
Breast Neoplasms	D001943	M	L	BREAST CANCER 3	605365	%	apd	05/12/10	apd	05/12/10																
Breast Neoplasms	D001943	L	L	BREAST CANCER, 11-22 TRANSLOCATION ASSOCIATED	600048	%	apd	05/12/10	apd	05/12/10																
Breast Neoplasms	D001943	L	L	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 1	604370	#	apd	05/12/10	apd	05/12/10																
Ovarian Neoplasms	D010051	L	L	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 1	604370	#	apd	05/12/10	apd	05/12/10																
Breast Neoplasms	D001943	L	L	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 2	612555	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Ovarian Neoplasms	D010051	L	L	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 2	612555	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Breast Neoplasms	D001943	L	L	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 3	613399	#	apd	08/26/10	apd	08/26/10	CTD-OMIM synch (August 2010)															
Ovarian Neoplasms	D010051	L	L	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 3	613399	#	apd	08/26/10	apd	08/26/10	CTD-OMIM synch (August 2010)															
Ehlers-Danlos syndrome 6B	C536192	M	L	BRITTLE CORNEA SYNDROME	229200	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Brody myopathy	C536607	M	M	BRODY MYOPATHY	601003	#	apd	05/12/10	apd	10/14/10	mapped to new MESH 2011															
Bronchiectasis	D001987	L	L	BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1	211400	#	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Bronchiectasis	D001987	L	L	BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 2	613021	#	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Bronchiectasis	D001987	L	L	BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 3	613071	#	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Brown-Vialetto-Van Laere syndrome	C537111	M	M	BROWN-VIALETTO-VAN LAERE SYNDROME	211530	#	apd	05/12/10	apd	10/14/10	May 2010 OMIM-CTD synch. (reported by Tom; curated by APD); new mapping to MESH 2011															
Bruck syndrome 1	C537406	M	M	BRUCK SYNDROME 1	259450	%	apd	05/12/10	apd	10/14/10	mapped to new MESH 2011															
Bruck syndrome 2	C537407	M	M	BRUCK SYNDROME 2	609220	#	apd	05/12/10	apd	10/14/10	mapped to new MESH 2011															
Brugada Syndrome	D053840	M	M	BRUGADA SYNDROME	601144	#	apd	05/12/10	apd	05/12/10																
Brugada Syndrome	D053840	M	L	BRUGADA SYNDROME 2	611777	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Brugada Syndrome	D053840	M	L	BRUGADA SYNDROME 3	611875	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Brugada Syndrome	D053840	M	L	BRUGADA SYNDROME 4	611876	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Brugada Syndrome	D053840	M	L	BRUGADA SYNDROME 5	612838	#	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Brugada Syndrome	D053840	M	L	BRUGADA SYNDROME 6	613119	#	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Brugada Syndrome	D053840	M	L	BRUGADA SYNDROME 7	613120	#	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Brugada Syndrome	D053840	M	L	BRUGADA SYNDROME 8	613123	#	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Metabolism, Inborn Errors	D008661	L	L	BRUNNER SYNDROME	300615	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Personality Disorders	D010554	L	L	BRUNNER SYNDROME	300615	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation, X-Linked	D038901	L	L	BRUNNER SYNDROME	300615	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Budd-Chiari Syndrome	D006502	M	M	BUDD-CHIARI SYNDROME	600880	[blank]	apd	05/12/10	apd	05/12/10																
Bulimia Nervosa	D052018	M	L	BULIMIA NERVOSA, SUSCEPTIBILITY TO, 1	607499	%	apd	05/12/10	apd	05/12/10																
Bulimia Nervosa	D052018	M	L	BULIMIA NERVOSA, SUSCEPTIBILITY TO, 2	610269	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Skin Diseases, Vesiculobullous	D012872	L	L	BULLOUS DYSTROPHY, HEREDITARY MACULAR TYPE	302000	%	apd	05/12/10	apd	05/12/10																
Epidermolysis Bullosa Dystrophica	D016108	L	L	BULLOUS DYSTROPHY, HEREDITARY MACULAR TYPE	302000	%	apd	05/12/10	apd	05/12/10																
Burkitt Lymphoma	D002051	M	M	BURKITT LYMPHOMA	113970	#	apd	05/12/10	apd	05/12/10																
Buruli Ulcer	D054312	M	M	BURULI ULCER, SUSCEPTIBILITY TO	610446	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Buschke-Ollendorff syndrome	C537415	M	M	BUSCHKE-OLLENDORFF SYNDROME	166700	#	apd	05/12/10	apd	10/14/10	mapped to new MESH 2011															
Metabolism, Inborn Errors	D008661	M	M	BUTYRYLCHOLINESTERASE	177400	+	apd	05/12/10	apd	05/12/10																
Craniosynostoses	D003398	L	L	C SYNDROME	211750	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Musculoskeletal Diseases	D009140	L	L	C SYNDROME	211750	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Psychomotor Disorders	D011596	L	L	C SYNDROME	211750	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Skin Diseases	D012871	L	L	C SYNDROME	211750	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Facies	D019066	L	L	C SYNDROME	211750	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Breast Neoplasms	D001943	M	M	CADHERIN 1	192090	+	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Ovarian Neoplasms	D010051	M	M	CADHERIN 1	192090	+	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Prostatic Neoplasms	D011471	M	M	CADHERIN 1	192090	+	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Stomach Neoplasms	D013274	M	M	CADHERIN 1	192090	+	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Endometrial Neoplasms	D016889	M	M	CADHERIN 1	192090	+	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Cafe au lait spots, multiple	C537421	M	M	CAFE-AU-LAIT SPOTS, MULTIPLE	114030	[blank]	apd	05/12/10	apd	05/27/11																
Hyperostosis, Cortical, Congenital	D006958	M	L	CAFFEY DISEASE	114000	#	apd	05/12/10	apd	10/07/11																
Calcinosis	D002114	L	L	CALCIFICATION OF JOINTS AND ARTERIES	211800	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Joint Diseases	D007592	L	L	CALCIFICATION OF JOINTS AND ARTERIES	211800	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Vascular Diseases	D014652	L	L	CALCIFICATION OF JOINTS AND ARTERIES	211800	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Ataxia	D001259	M	M	CALCIUM CHANNEL, VOLTAGE-DEPENDENT, BETA-4 SUBUNIT	601949	+	apd	05/12/10	apd	05/12/10																
Epilepsy, Generalized	D004829	M	M	CALCIUM CHANNEL, VOLTAGE-DEPENDENT, BETA-4 SUBUNIT	601949	+	apd	05/12/10	apd	05/12/10																
Hypercalcemia	D006934	M	M	CALCIUM-SENSING RECEPTOR	601199	+	apd	05/12/10	apd	05/12/10																
Growth Disorders	D006961	M	M	CALCIUM-SENSING RECEPTOR	601199	+	apd	05/12/10	apd	05/12/10																
Campomelic Dysplasia	D055036	M	M	CAMPOMELIC DYSPLASIA	114290	#	apd	05/12/10	apd	05/12/10																
Hand Deformities, Congenital	D006228	L	L	CAMPTODACTYLY 1	114200	%	apd	05/12/10	apd	05/12/10	May 2010 OMIM-CTD synch. (reported by Tom; curated by APD)															
CATSHL syndrome	C537975	M	M	CAMPTODACTYLY, TALL STATURE, AND HEARING LOSS SYNDROME	610474	#	apd	05/12/10	apd	05/27/11	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Jacobs syndrome	C537560	M	L	CAMPTODACTYLY-ARTHROPATHY-COXA VARA-PERICARDITIS SYNDROME	208250	#	apd	05/12/10	apd	05/27/11																
Camurati-Engelmann Syndrome	D003966	M	L	CAMURATI-ENGELMANN DISEASE	131300	#	apd	05/12/10	apd	05/12/10																
Canavan Disease	D017825	M	M	CANAVAN DISEASE	271900	#	apd	05/12/10	apd	05/12/10																
Neoplasms	D009369	L	L	CANCER, FAMILIAL, WITH IN VITRO RADIORESISTANCE	114450	[blank]	apd	05/12/10	apd	05/12/10	May 2010 OMIM-CTD synch. (reported by Tom; curated by APD)															
Candidiasis	D002177	L	L	CANDIDIASIS, FAMILIAL, 1	114580	%	apd	05/12/10	apd	05/12/10	May 2010 OMIM-CTD synch. (reported by Tom; curated by APD)															
Candidiasis familial chronic mucocutaneous, autosomal recessive	C537979	M	L	CANDIDIASIS, FAMILIAL, 2	212050	#	apd	08/26/10	apd	05/27/11	CTD-OMIM synch (August 2010)															
Candidiasis	D002177	L	L	CANDIDIASIS, FAMILIAL, 3	607644	%	apd	05/12/10	apd	05/12/10																
Candidiasis	D002177	L	L	CANDIDIASIS, FAMILIAL, 4	613108	#	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Arteriovenous Malformations	D001165	L	L	CAPILLARY MALFORMATION-ARTERIOVENOUS MALFORMATION	608354	#	apd	05/12/10	apd	05/12/10																
Port-Wine Stain	D019339	L	L	CAPILLARY MALFORMATION-ARTERIOVENOUS MALFORMATION	608354	#	apd	05/12/10	apd	05/12/10																
Arteriovenous Malformations	D001165	L	L	CAPILLARY MALFORMATIONS, CONGENITAL, 1	163000	%	apd	05/12/10	apd	05/12/10																
Nevi flammei, familial multiple	C535816	L	L	CAPILLARY MALFORMATIONS, CONGENITAL, 1	163000	%	apd	05/12/10	apd	05/12/10																
Carbamoyl-Phosphate Synthase I Deficiency Disease	D020165	M	L	CARBAMOYL PHOSPHATE SYNTHETASE I DEFICIENCY, HYPERAMMONEMIA DUE TO	237300	#	apd	05/12/10	apd	05/27/11																
Metabolism, Inborn Errors	D008661	L	L	CARBOXYPEPTIDASE N DEFICIENCY	212070	#	apd	05/12/10	apd	05/12/10																
Carcinoid Tumor	D002276	L	L	CARCINOID TUMORS, INTESTINAL	114900	#	apd	05/12/10	apd	05/12/10																
Intestinal Neoplasms	D007414	L	L	CARCINOID TUMORS, INTESTINAL	114900	#	apd	05/12/10	apd	05/27/11																
Arrhythmias, Cardiac	D001145	M	M	CARDIAC ARRHYTHMIA	115000	[blank]	smb	09/24/10	smb	09/24/10	from Joel's review 															
Long QT Syndrome	D008133	L	L	CARDIAC ARRHYTHMIA, ANKYRIN-B-RELATED	600919	#	apd	05/12/10	apd	07/28/11																
Death, Sudden, Cardiac	D016757	L	L	CARDIAC CONDUCTION DEFECT	115080	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Heart Block	D006327	L	L	CARDIAC CONDUCTION DEFECT	115080	#	apd	05/12/10	apd	05/27/11																
Cardiac valvular dysplasia, X-linked	C535576	M	M	CARDIAC VALVULAR DYSPLASIA, X-LINKED	314400	%	apd	05/12/10	apd	10/14/10	mapped to new MESH															
Cardiomyopathies	D009202	L	L	CARDIOENCEPHALOMYOPATHY, FATAL INFANTILE, DUE TO CYTOCHROME C OXIDASE DEFICIENCY	604377	#	apd	05/12/10	apd	05/12/10																
Cytochrome-c Oxidase Deficiency	D030401	L	L	CARDIOENCEPHALOMYOPATHY, FATAL INFANTILE, DUE TO CYTOCHROME C OXIDASE DEFICIENCY	604377	#	apd	05/12/10	apd	05/12/10																
Cardiofaciocutaneous syndrome	C535579	M	M	CARDIOFACIOCUTANEOUS SYNDROME	115150	#	apd	05/12/10	apd	10/07/10	re-mapped to new MESH															
Cardiomyopathy, Dilated	D002311	M	L	CARDIOMYOPATHY, DILATED, 1A	115200	#	apd	05/12/10	apd	05/12/10																
Cardiomyopathy, Dilated	D002311	M	L	CARDIOMYOPATHY, DILATED, 1AA	612158	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Cardiomyopathy, Dilated	D002311	M	L	CARDIOMYOPATHY, DILATED, 1B	600884	%	apd	05/12/10	apd	05/12/10																
Cardiomyopathy, Dilated	D002311	M	L	CARDIOMYOPATHY, DILATED, 1BB	612877	#	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Cardiomyopathy, Dilated	D002311	M	L	CARDIOMYOPATHY, DILATED, 1C	601493	%	apd	05/12/10	apd	05/12/10																
Cardiomyopathy, Dilated	D002311	M	L	CARDIOMYOPATHY, DILATED, 1CC	613122	#	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
